stay_year,major_source_nm,stays_count,room_nights,room_revenue,total_revenue,ADR,revenue_per_stay,TrevPOR,attach_rate
2022,Admin / Other,20962,55177.0,57226855.01217223,73589693.5447335,1037.1505339574865,2730.0283852767975,1333.7023314919893,1.2859293688091171
2022,Agoda,7164,14784.0,8632751.660114171,10649012.172229482,583.9253016852118,1205.0183780170535,720.3065592687691,1.2335594247927948
2022,Amadeus,9406,27875.0,14631717.720993422,18512298.57389297,524.9046716051452,1555.5727961932193,664.1183344894339,1.2652170392360518
2022,Amex FHR via Service Provider (Expedia),30680,77414.0,81911900.61994234,108755813.81341033,1058.1019017224576,2669.879420467482,1404.8597645569319,1.3277168883923143
2022,B2B Connect,7793,22740.0,21524578.967548493,27379685.952744585,946.5514057848942,2762.0401600857813,1204.0319240432975,1.2720195825443803
2022,Booking.com,45434,105197.0,66214182.51808651,81745208.17502782,629.430330884783,1457.3707469755361,777.067864815801,1.2345573873497417
2022,By Invitation,7,7.0,4233.368034142105,4501.42622331719,604.7668620203007,604.7668620203007,643.0608890453129,1.0633203130493727
2022,Click to Chat,18,48.0,42954.67461359876,53464.76364895691,894.8890544499742,2386.370811866598,1113.8492426866023,1.244678585739556
2022,Ctrip,46658,65777.0,15565075.643779721,18993614.42312962,236.63401559480855,333.5992893775927,288.75768768915606,1.2202712571281364
2022,Default Source Code,865,2154.0,1431383.5060426435,1807585.7168719643,664.5234475592588,1654.778619702478,839.1762845273743,1.2628241901916348
2022,Diverted Bookings,12076,31772.0,29755068.16908752,34450182.9096839,936.5185751317991,2463.983783462034,1084.2938093190198,1.1577921016317523
2022,E-mail to WRO,67,179.0,225626.46750798306,277653.72260322183,1260.483058703816,3367.559216537061,1551.138115101798,1.230590212530797
2022,Elite Guest,813,2441.0,3997121.8265835973,5045847.194524503,1637.4935791002038,4916.509011787943,2067.122980141132,1.2623701286676239
2022,Expedia,40737,101313.0,71733954.85247359,90638670.29695503,708.0429446613326,1760.9042112201091,894.64007873575,1.2635392887978985
2022,FS Guest Service Profile Desk,24,67.0,131049.68182176433,173784.82325101923,1955.9654003248409,5460.403409240181,2593.8033321047646,1.32609878051728
2022,Fliggy,83,128.0,73995.20781777256,94461.58783674701,578.0875610763482,891.5085279249706,737.981154974586,1.2765906147513884
2022,Four Seasons Mobile App,10379,27721.0,31422590.561004963,40713129.09247692,1133.5301959166322,3027.5161924082245,1468.6746182488698,1.2956643091992994
2022,Four Seasons Website,109914,292061.0,307583651.4138475,393409579.8499181,1053.1486621419756,2798.402855085317,1347.011685401057,1.2790328030815707
2022,Galileo,12348,24320.0,12301577.744355535,15509445.244694822,505.8214533040927,996.2405040780317,637.7238998640963,1.2607687864925445
2022,Google,1,1.0,545.21276594,856.5384083727,545.21276594,545.21276594,856.5384083727,1.5710167880899564
2022,HIS Vacations,1,3.0,2428.84040623252,2572.84040623252,809.6134687441732,2428.84040623252,857.6134687441732,1.0592875512242341
2022,Hawaii Collection,6,20.0,35936.85651121622,49107.22994316533,1796.842825560811,5989.476085202703,2455.3614971582665,1.3664865185923682
2022,Hotel Live Chat,2588,6037.0,4555415.924731731,6072923.011245583,754.5827273035832,1760.2070806536829,1005.9504739515626,1.3331215220711636
2022,Make My Trip,1025,1362.0,231248.4258926391,287657.0192125129,169.78592209444867,225.60822038306253,211.201923063519,1.243930712618396
2022,Metasearch,3800,8876.0,8698536.217116259,10882982.4782298,980.0063336093126,2289.0884781884893,1226.113393221023,1.251128029658044
2022,NetJets,1,3.0,3680.0,8975.5,1226.6666666666667,3680.0,2991.8333333333335,2.438994565217391
2022,Online Third Party,11629,14004.0,7497924.972101947,10232709.33960798,535.4130942660631,644.7609400724007,730.6990388180506,1.364738828099979
2022,Owner,227,780.0,404979.2191929454,437082.7089096894,519.2041271704428,1784.0494237574687,560.3624473201146,1.079271943337539
2022,Pegasus ODD,234,595.0,532194.0961610846,723326.1398370606,894.4438590942598,2274.3337442781394,1215.6741846001019,1.3591397293857317
2022,Private Retreats,1,1.0,625.0,1029.32,625.0,625.0,1029.32,1.646912
2022,Reservations Office,153004,479724.0,321580209.4015639,417520676.94082254,670.3442175116606,2101.7764855922974,870.33518635887,1.2983407085833936
2022,Reservations Office Main Line,91629,241064.0,302262152.1046962,375408544.6940708,1253.866824182359,3298.7607864834954,1557.298247328804,1.2419965320833106
2022,Residential Rental Website,1,3.0,891.440075132077,935.835975995083,297.1466917106923,891.440075132077,311.94532533169433,1.0498024512263802
2022,Sabre,72073,171121.0,117923136.17045046,146917097.7255269,689.1213595669174,1636.1624487734723,858.5567973862173,1.2458716965699377
2022,Sales Office,141239,431459.0,164155269.339212,210029192.94820112,380.46551199351967,1162.2517104993096,486.7882995793369,1.2794544688918563
2022,Siteminder,9,17.0,5481.01746416686,8192.41165423166,322.4127920098153,609.0019404629844,481.90656789598006,1.4946881136196024
2022,SynXis-Trust,482,1473.0,1736142.8388602794,2329708.673323383,1178.6441540124097,3601.9560972204968,1581.6080606404503,1.3418876725907876
2022,Toll Free,2860,9816.0,15213208.837618725,18914352.304525033,1549.837901142902,5319.303789377177,1926.890006573455,1.2432848655672326
2022,Voice,15,39.0,193489.19704401726,206171.28215093433,4961.261462667109,12899.279802934483,5286.443132075239,1.0655441507880774
2022,WRO Live Chat,17,27.0,24870.82634113448,30623.24119158244,921.1417163383142,1462.9897847726165,1134.1941182067571,1.231291665646585
2022,Walk In,17110,28532.0,15708388.641859554,19246784.321917683,550.5533661103166,918.0823285715695,674.568355597844,1.225255165296143
2022,Worldspan,1155,3020.0,3598138.107090963,4549494.278432156,1191.4364593016435,3115.271088390444,1506.4550590834954,1.264402350056082
2023,Admin / Other,18743,54690.0,57280354.20355318,73159589.94708559,1047.3643116392975,3056.0931656380076,1337.7142063829876,1.277219580156636
2023,Agoda,7972,15933.0,9692346.472569903,12023736.799065005,608.3189903075317,1215.7986041858885,754.6436201007347,1.24053930935023
2023,Amadeus,13439,37596.0,18920587.773080517,24145887.07177811,503.26065999256616,1407.8865818201143,642.2461717144938,1.276170030305927
2023,Amex FHR via Service Provider (Expedia),38986,97590.0,97881179.00156003,131768443.25503269,1002.9836971160983,2510.6750885333204,1350.2248514707726,1.3462081740242684
2023,B2B Connect,9392,26390.0,23025986.329510182,29453756.82128273,872.5269545096696,2451.659532528767,1116.0953702645975,1.2791528840410495
2023,Booking.com,46735,112373.0,76943581.61322752,95382909.63552308,684.7159158625961,1646.3802634690812,848.8062936428064,1.2396473836503294
2023,Click to Chat,248,553.0,467027.6631461606,567312.2981105591,844.5346530671982,1883.1760610732283,1025.8811900733438,1.2147295393356892
2023,Ctrip,69892,102211.0,36267833.17671121,43715726.47636556,354.8329746965709,518.9125103976307,427.700800074019,1.2053580996517015
2023,Default Source Code,876,2304.0,1631466.1760028147,2093575.1590737822,708.1016388901105,1862.4043105054961,908.6697739035512,1.283247663891605
